time	V(vgnd)	V(vraw)
4.217382857143082e-02	1.176618e+01	2.346063e+01
4.363525714285983e-02	1.176515e+01	2.346063e+01
4.509668571428885e-02	1.176414e+01	2.346063e+01
4.655811428571787e-02	1.176317e+01	2.346063e+01
4.801954285714689e-02	1.176222e+01	2.346063e+01
4.948097142857591e-02	1.176130e+01	2.346063e+01
5.094240000000493e-02	1.176041e+01	2.346063e+01
5.095240000000493e-02	1.176040e+01	2.346063e+01
5.201000000000000e-02	1.175977e+01	2.346063e+01
5.201100000000000e-02	1.175977e+01	2.346068e+01
5.201300000000000e-02	1.175977e+01	2.346090e+01
5.201600000000001e-02	1.175977e+01	2.346152e+01
5.202000000000000e-02	1.175977e+01	2.346271e+01
5.202748571428572e-02	1.175976e+01	2.346560e+01
5.203497142857143e-02	1.175976e+01	2.346835e+01
5.204245714285715e-02	1.175976e+01	2.347097e+01
5.204994285714286e-02	1.175975e+01	2.347344e+01
5.205742857142857e-02	1.175975e+01	2.347578e+01
5.206491428571429e-02	1.175974e+01	2.347798e+01
5.207240000000000e-02	1.175974e+01	2.348004e+01
5.208240000000001e-02	1.175974e+01	2.348266e+01
5.209240000000001e-02	1.175974e+01	2.348512e+01
5.210240000000001e-02	1.175973e+01	2.348743e+01
5.211240000000002e-02	1.175973e+01	2.348960e+01
5.212240000000002e-02	1.175973e+01	2.349166e+01
5.214240000000003e-02	1.175972e+01	2.349544e+01
5.216240000000003e-02	1.175972e+01	2.349886e+01
5.218240000000004e-02	1.175971e+01	2.350197e+01
5.220240000000004e-02	1.175971e+01	2.350481e+01
5.222240000000005e-02	1.175971e+01	2.350743e+01
5.224240000000006e-02	1.175970e+01	2.350986e+01
5.226240000000006e-02	1.175970e+01	2.351211e+01
5.228240000000007e-02	1.175970e+01	2.351422e+01
5.230240000000008e-02	1.175970e+01	2.351619e+01
5.232240000000008e-02	1.175970e+01	2.351804e+01
5.233240000000008e-02	1.175970e+01	2.351893e+01
5.234240000000009e-02	1.175970e+01	2.351979e+01
5.236240000000009e-02	1.175970e+01	2.352144e+01
5.238240000000010e-02	1.175970e+01	2.352301e+01
5.241240000000011e-02	1.175970e+01	2.352521e+01
5.244240000000012e-02	1.175970e+01	2.352726e+01
5.247097142857156e-02	1.175971e+01	2.352907e+01
5.249954285714299e-02	1.175971e+01	2.353079e+01
5.252811428571443e-02	1.175971e+01	2.353243e+01
5.255668571428587e-02	1.175972e+01	2.353398e+01
5.258525714285731e-02	1.175972e+01	2.353545e+01
5.261382857142874e-02	1.175973e+01	2.353683e+01
5.264240000000018e-02	1.175973e+01	2.353814e+01
5.268240000000019e-02	1.175974e+01	2.353986e+01
5.272240000000020e-02	1.175975e+01	2.354151e+01
5.276240000000022e-02	1.175976e+01	2.354307e+01
5.280240000000023e-02	1.175977e+01	2.354456e+01
5.284240000000024e-02	1.175978e+01	2.354596e+01
5.288240000000025e-02	1.175979e+01	2.354728e+01
5.292240000000027e-02	1.175980e+01	2.354853e+01
5.297811428571457e-02	1.175982e+01	2.355017e+01
5.303382857142887e-02	1.175983e+01	2.355173e+01
5.308954285714317e-02	1.175985e+01	2.355322e+01
5.314525714285748e-02	1.175987e+01	2.355463e+01
5.320097142857178e-02	1.175989e+01	2.355597e+01
5.325668571428608e-02	1.175991e+01	2.355723e+01
5.331240000000038e-02	1.175993e+01	2.355841e+01
5.339097142857184e-02	1.175996e+01	2.355999e+01
5.346954285714329e-02	1.175999e+01	2.356149e+01
5.354811428571474e-02	1.176003e+01	2.356292e+01
5.362668571428619e-02	1.176006e+01	2.356428e+01
5.370525714285765e-02	1.176010e+01	2.356556e+01
5.378382857142910e-02	1.176013e+01	2.356677e+01
5.386240000000055e-02	1.176017e+01	2.356790e+01
5.397240000000059e-02	1.176022e+01	2.356940e+01
5.408240000000062e-02	1.176028e+01	2.357083e+01
5.419240000000065e-02	1.176033e+01	2.357219e+01
5.430240000000069e-02	1.176039e+01	2.357347e+01
5.441240000000072e-02	1.176045e+01	2.357469e+01
5.452240000000075e-02	1.176051e+01	2.357583e+01
5.463240000000079e-02	1.176057e+01	2.357690e+01
5.478525714285798e-02	1.176066e+01	2.357831e+01
5.493811428571517e-02	1.176074e+01	2.357964e+01
5.509097142857236e-02	1.176083e+01	2.358091e+01
5.524382857142954e-02	1.176092e+01	2.358212e+01
5.539668571428673e-02	1.176102e+01	2.358325e+01
5.554954285714393e-02	1.176111e+01	2.358431e+01
5.570240000000112e-02	1.176121e+01	2.358531e+01
5.591240000000118e-02	1.176134e+01	2.358660e+01
5.612240000000124e-02	1.176148e+01	2.358783e+01
5.633240000000131e-02	1.176161e+01	2.358899e+01
5.654240000000137e-02	1.176175e+01	2.359009e+01
5.675240000000144e-02	1.176189e+01	2.359113e+01
5.696240000000150e-02	1.176203e+01	2.359209e+01
5.717240000000157e-02	1.176218e+01	2.359300e+01
5.745525714285880e-02	1.176237e+01	2.359415e+01
5.773811428571603e-02	1.176257e+01	2.359524e+01
5.802097142857326e-02	1.176277e+01	2.359627e+01
5.830382857143048e-02	1.176297e+01	2.359724e+01
5.858668571428771e-02	1.176317e+01	2.359815e+01
5.886954285714494e-02	1.176338e+01	2.359901e+01
5.915240000000217e-02	1.176358e+01	2.359980e+01
5.943240000000226e-02	1.176379e+01	2.360055e+01
5.971240000000234e-02	1.176399e+01	2.360127e+01
5.999240000000243e-02	1.176420e+01	2.360195e+01
6.027240000000252e-02	1.176440e+01	2.360261e+01
6.055240000000260e-02	1.176461e+01	2.360323e+01
6.083240000000269e-02	1.176482e+01	2.360382e+01
6.111240000000277e-02	1.176502e+01	2.360437e+01
6.112240000000278e-02	1.176503e+01	2.360439e+01
6.157811428571702e-02	1.176537e+01	2.360524e+01
6.203382857143126e-02	1.176571e+01	2.360604e+01
6.248954285714551e-02	1.176605e+01	2.360679e+01
6.294525714285976e-02	1.176639e+01	2.360750e+01
6.340097142857400e-02	1.176673e+01	2.360815e+01
6.385668571428825e-02	1.176707e+01	2.360876e+01
6.431240000000249e-02	1.176741e+01	2.360933e+01
6.488097142857370e-02	1.176783e+01	2.360998e+01
6.544954285714491e-02	1.176826e+01	2.361060e+01
6.601811428571612e-02	1.176868e+01	2.361118e+01
6.658668571428732e-02	1.176909e+01	2.361172e+01
6.715525714285853e-02	1.176951e+01	2.361222e+01
6.772382857142974e-02	1.176993e+01	2.361268e+01
6.829240000000095e-02	1.177034e+01	2.361311e+01
6.872954285714364e-02	1.177066e+01	2.361342e+01
6.916668571428632e-02	1.177097e+01	2.361371e+01
6.960382857142901e-02	1.177128e+01	2.361400e+01
7.004097142857170e-02	1.177159e+01	2.361427e+01
7.047811428571439e-02	1.177190e+01	2.361452e+01
7.091525714285707e-02	1.177221e+01	2.361477e+01
7.135239999999976e-02	1.177252e+01	2.361500e+01
7.136239999999976e-02	1.177252e+01	2.361500e+01
7.211239999999947e-02	1.177305e+01	2.361537e+01
7.286239999999918e-02	1.177356e+01	2.361571e+01
7.361239999999888e-02	1.177408e+01	2.361603e+01
7.436239999999859e-02	1.177458e+01	2.361632e+01
7.511239999999830e-02	1.177508e+01	2.361659e+01
7.586239999999801e-02	1.177558e+01	2.361684e+01
7.661239999999772e-02	1.177607e+01	2.361707e+01
7.732382857142601e-02	1.177653e+01	2.361727e+01
7.803525714285431e-02	1.177698e+01	2.361746e+01
7.874668571428260e-02	1.177743e+01	2.361763e+01
7.945811428571091e-02	1.177787e+01	2.361780e+01
8.016954285713920e-02	1.177831e+01	2.361795e+01
8.088097142856750e-02	1.177875e+01	2.361809e+01
8.159239999999579e-02	1.177917e+01	2.361822e+01
8.160239999999579e-02	1.177918e+01	2.361822e+01
8.249668571428115e-02	1.177971e+01	2.361837e+01
8.339097142856652e-02	1.178023e+01	2.361851e+01
8.428525714285189e-02	1.178075e+01	2.361864e+01
8.517954285713726e-02	1.178126e+01	2.361876e+01
8.607382857142262e-02	1.178175e+01	2.361887e+01
8.696811428570800e-02	1.178225e+01	2.361897e+01
8.786239999999336e-02	1.178273e+01	2.361906e+01
8.842954285713600e-02	1.178303e+01	2.361911e+01
