Freq.	V(vout)/V(cart_emf)
2.18776162394954e+03	(3.18323808822997e+01dB,-6.62062858497949e+01°)
2.23872113856832e+03	(3.17157143952487e+01dB,-6.68182145784709e+01°)
2.29086765276776e+03	(3.15972251788129e+01dB,-6.74382723021780e+01°)
2.34422881531991e+03	(3.14769103009996e+01dB,-6.80661731716989e+01°)
2.39883291901947e+03	(3.13547697899369e+01dB,-6.87016396693824e+01°)
2.45470891568501e+03	(3.12308065597777e+01dB,-6.93444037405595e+01°)
2.51188643150956e+03	(3.11050263265481e+01dB,-6.99942078346169e+01°)
2.57039578276885e+03	(3.09774375117731e+01dB,-7.06508061255811e+01°)
2.63026799189536e+03	(3.08480511457397e+01dB,-7.13139653859963e+01°)
2.69153480392690e+03	(3.07168807536014e+01dB,-7.19834661063598e+01°)
2.75422870333815e+03	(3.05839422452981e+01dB,-7.26591033163297e+01°)
2.81838293126443e+03	(3.04492537876239e+01dB,-7.33406876148475e+01°)
2.88403150312658e+03	(3.03128356831698e+01dB,-7.40280458817577e+01°)
2.95120922666636e+03	(3.01747102314424e+01dB,-7.47210222170877e+01°)
3.01995172040199e+03	(3.00349015980718e+01dB,-7.54194786002562e+01°)
3.09029543251357e+03	(2.98934356717311e+01dB,-7.61232956147671e+01°)
3.16227766016836e+03	(2.97503399219772e+01dB,-7.68323731421511e+01°)
3.23593656929626e+03	(2.96056432525749e+01dB,-7.75466309753705e+01°)
3.31131121482589e+03	(2.94593758587168e+01dB,-7.82660093147463e+01°)
3.38844156139200e+03	(2.93115690689755e+01dB,-7.89904694736886e+01°)
3.46736850452529e+03	(2.91622552055771e+01dB,-7.97199941783291e+01°)
3.54813389233573e+03	(2.90114674251414e+01dB,-8.04545882133269e+01°)
3.63078054770099e+03	(2.88592395724363e+01dB,-8.11942787112280e+01°)
3.71535229097170e+03	(2.87056060230003e+01dB,-8.19391157143674e+01°)
3.80189396320558e+03	(2.85506015358324e+01dB,-8.26891724099544e+01°)
3.89045144994278e+03	(2.83942610926065e+01dB,-8.34445456707117e+01°)
3.98107170553494e+03	(2.82366197498487e+01dB,-8.42053562672644e+01°)
4.07380277804110e+03	(2.80777124796200e+01dB,-8.49717492923677e+01°)
4.16869383470332e+03	(2.79175740127439e+01dB,-8.57438945165538e+01°)
4.26579518801589e+03	(2.77562386793108e+01dB,-8.65219867022342e+01°)
4.36515832240162e+03	(2.75937402475015e+01dB,-8.73062459570260e+01°)
4.46683592150960e+03	(2.74301117564283e+01dB,-8.80969180993935e+01°)
4.57088189614871e+03	(2.72653853442390e+01dB,-8.88942750664744e+01°)
4.67735141287194e+03	(2.70995920809323e+01dB,-8.96986151386709e+01°)
4.78630092322634e+03	(2.69327617780913e+01dB,-9.05102634678126e+01°)
4.89778819368442e+03	(2.67649228002787e+01dB,-9.13295724703061e+01°)
5.01187233627268e+03	(2.65961018698868e+01dB,-9.21569221668581e+01°)
5.12861383991361e+03	(2.64263238565729e+01dB,-9.29927206601968e+01°)
5.24807460249768e+03	(2.62556115482037e+01dB,-9.38374046579007e+01°)
5.37031796370248e+03	(2.60839854279100e+01dB,-9.46914397558179e+01°)
5.49540873857620e+03	(2.59114634102133e+01dB,-9.55553210739146e+01°)
5.62341325190344e+03	(2.57380605715148e+01dB,-9.64295736879104e+01°)
5.75439937337152e+03	(2.55637888668305e+01dB,-9.73147530120395e+01°)
5.88843655355584e+03	(2.53886567971772e+01dB,-9.82114454726237e+01°)
6.02559586074353e+03	(2.52126690942425e+01dB,-9.91202686289825e+01°)
6.16595001861477e+03	(2.50358263251392e+01dB,-1.00041871917323e+02°)
6.30957344480188e+03	(2.48581245048659e+01dB,-1.00976936821152e+02°)
6.45654229034650e+03	(2.46795546660395e+01dB,-1.01926177113852e+02°)
6.60693448007590e+03	(2.45001023774748e+01dB,-1.02890339151952e+02°)
